Country,Gender,Year,OECD,Life_exp
Czechia,Male,2022,True,76.1
Czechia,Total,2022,True,79.0
Czechia,Female,2023,True,82.9
Czechia,Male,2023,True,77.0
Czechia,Total,2023,True,80.0
Denmark,Female,2015,True,82.7
Denmark,Male,2015,True,78.8
Denmark,Total,2015,True,80.8
Denmark,Female,2016,True,82.8
Denmark,Male,2016,True,79.0
Denmark,Total,2016,True,80.9
Denmark,Female,2017,True,83.1
Denmark,Male,2017,True,79.2
Denmark,Total,2017,True,81.1
Denmark,Female,2018,True,82.9
Denmark,Male,2018,True,79.1
Denmark,Total,2018,True,81.0
Denmark,Female,2019,True,83.5
Denmark,Male,2019,True,79.5
Denmark,Total,2019,True,81.5
Denmark,Female,2020,True,83.6
Denmark,Male,2020,True,79.7
Denmark,Total,2020,True,81.6
Denmark,Female,2021,True,83.3
Denmark,Male,2021,True,79.6
Denmark,Total,2021,True,81.5
Denmark,Female,2022,True,83.2
Denmark,Male,2022,True,79.5
Denmark,Total,2022,True,81.3
Denmark,Female,2023,True,83.8
Denmark,Male,2023,True,80.0
Denmark,Total,2023,True,81.9
Estonia,Female,2015,True,82.2
Estonia,Male,2015,True,73.2
Estonia,Total,2015,True,78.0
Estonia,Female,2016,True,82.2
Estonia,Male,2016,True,73.3
Estonia,Total,2016,True,78.0
Estonia,Female,2017,True,82.6
Estonia,Male,2017,True,73.8
Estonia,Total,2017,True,78.4
Estonia,Female,2018,True,82.7
Estonia,Male,2018,True,74.0
Estonia,Total,2018,True,78.5
Estonia,Female,2019,True,83.0
Estonia,Male,2019,True,74.5
Estonia,Total,2019,True,79.0
Estonia,Female,2020,True,83.0
Estonia,Male,2020,True,74.4
Estonia,Total,2020,True,78.9
Estonia,Female,2021,True,81.4
Estonia,Male,2021,True,72.7
Estonia,Total,2021,True,77.2
Estonia,Female,2022,True,82.3
Estonia,Male,2022,True,73.6
Estonia,Total,2022,True,78.1
Estonia,Female,2023,True,83.1
Estonia,Male,2023,True,74.1
Estonia,Total,2023,True,78.8
Finland,Female,2015,True,84.4
Finland,Male,2015,True,78.7
Finland,Total,2015,True,81.6
Finland,Female,2016,True,84.4
Finland,Male,2016,True,78.6
Finland,Total,2016,True,81.5
Finland,Female,2017,True,84.5
Finland,Male,2017,True,78.9
Finland,Total,2017,True,81.7
Finland,Female,2018,True,84.5
Finland,Male,2018,True,79.1
Finland,Total,2018,True,81.8
Finland,Female,2019,True,84.8
Finland,Male,2019,True,79.3
Finland,Total,2019,True,82.1
Finland,Female,2020,True,84.8
Finland,Male,2020,True,79.2
Finland,Total,2020,True,82.0
Finland,Female,2021,True,84.6
Finland,Male,2021,True,79.3
Finland,Total,2021,True,81.9
Finland,Female,2022,True,83.8
Finland,Male,2022,True,78.7
Finland,Total,2022,True,81.2
Finland,Female,2023,True,84.4
Finland,Male,2023,True,79.1
Finland,Total,2023,True,81.7
France,Female,2015,True,85.6
France,Male,2015,True,79.2
France,Total,2015,True,82.4
France,Female,2016,True,85.8
France,Male,2016,True,79.5
France,Total,2016,True,82.7
France,Female,2017,True,85.7
France,Male,2017,True,79.6
France,Total,2017,True,82.7
France,Female,2018,True,85.8
France,Male,2018,True,79.7
France,Total,2018,True,82.8
France,Female,2019,True,85.9
France,Male,2019,True,79.9
France,Total,2019,True,83.0
France,Female,2020,True,85.3
France,Male,2020,True,79.2
France,Total,2020,True,82.3
France,Female,2021,True,85.5
France,Male,2021,True,79.3
France,Total,2021,True,82.4
France,Female,2022,True,85.1
France,Male,2022,True,79.3
France,Total,2022,True,82.3
France,Female,2023,True,85.9
France,Male,2023,True,80.1
France,Total,2023,True,83.1
Germany,Female,2015,True,83.1
Germany,Male,2015,True,78.3
Germany,Total,2015,True,80.7
Germany,Female,2016,True,83.5
Germany,Male,2016,True,78.6
Germany,Total,2016,True,81.0
Germany,Female,2017,True,83.4
Germany,Male,2017,True,78.7
Germany,Total,2017,True,81.1
Germany,Female,2018,True,83.3
Germany,Male,2018,True,78.6
Germany,Total,2018,True,81.0
Germany,Female,2019,True,83.7
Germany,Male,2019,True,79.0
Germany,Total,2019,True,81.3
Germany,Female,2020,True,83.5
Germany,Male,2020,True,78.7
Germany,Total,2020,True,81.1
Germany,Female,2021,True,83.3
Germany,Male,2021,True,78.4
Germany,Total,2021,True,80.8
Germany,Female,2022,True,83.0
Germany,Male,2022,True,78.3
Germany,Total,2022,True,80.7
Greece,Female,2015,True,83.7
Greece,Male,2015,True,78.5
Greece,Total,2015,True,81.1
Greece,Female,2016,True,84.0
Greece,Male,2016,True,78.9
